X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-122.904755987716001,49.215329928829291,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Queen's Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Queen's Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Lacrosse;Softball</td>
</tr></table></center>",,,,,-1,0,1,,
-122.904923540325001,49.2128549040998,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Queen's Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Queen's Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Football;Lacrosse;Softball;Baseball</td>
</tr></table></center>",,,,,-1,0,1,,
-122.943216826037002,49.202451225154,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Grimston Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Grimston Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Softball</td>
</tr></table></center>",,,,,-1,0,1,,
-122.889667755522993,49.234281945970203,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Hume Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Hume Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Rugby;Softball</td>
</tr></table></center>",,,,,-1,0,1,,
-122.916674534284979,49.2036811531271,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Simcoe Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Simcoe Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td></td>
</tr></table></center>",,,,,-1,0,1,,
-122.940756670767982,49.1843090482337,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Ryall Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Ryall Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Softball</td>
</tr></table></center>",,,,,-1,0,1,,
-122.940350002033995,49.185836215810603,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Ryall Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Ryall Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Football</td>
</tr></table></center>",,,,,-1,0,1,,
-122.908985875293979,49.221138551363502,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Centennial Community Center Grounds</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Centennial Community Center Grounds</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Ruby</td>
</tr></table></center>",,,,,-1,0,1,,
-122.893390300205994,49.22740643613529,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Sapperton Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Sapperton Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Football;Softball</td>
</tr></table></center>",,,,,-1,0,1,,
-122.912293856481995,49.221522842693595,Sports Fields,"<center><table><tr><th colspan='2' align='center'><em>Terry Hughes Park</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>TYPE</th>
<td>Sports Field</td>
</tr><tr bgcolor="""">
<th>PARK</th>
<td>Terry Hughes Park</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ACTIVITIES</th>
<td>Soccer;Softball</td>
</tr></table></center>",,,,,-1,0,1,,
